upazila,district,latitude,longitude,network_type,signal_strength,accuracy,created_at
Shajahanpur,Bogura,24.7604,89.3606,4G,Low,8,6/25/2025 14:21
Sherpur,Bogura,24.66666667,89.41666667,4G,Low,7,6/25/2025 14:28
Shibganj,Bogura,25.0167,89.3167,4G,Low,3,6/25/2025 14:31
Sonatala,Bogura,25.0333,89.4917,4G,Moderate,4,6/25/2025 14:34
Bholahat,Chapainawabganj,24.89,88.22,4G,Low,0,6/25/2025 14:53
Gomostapur,Chapainawabganj,24.86,88.37,4G,Moderate,6,6/25/2025 15:03
Nachol,Chapainawabganj,24.73,88.42,4G,Low,4,6/25/2025 15:11
Nawabganj Sadar,Chapainawabganj,24.6,88.2667,4G,Moderate,2,6/25/2025 15:12
Shibganj,Chapainawabganj,24.6833,88.1667,4G,Low,7,6/25/2025 15:15
Akkelpur,Joypurhat,24.975,89.02,4G,Low,0,6/25/2025 15:18
Joypurhat Sadar,Joypurhat,25.1,89.03333333,4G,Moderate,3,6/25/2025 15:24
Kalai,Joypurhat,25.0583,89.1833,Wi-Fi,Good,1,6/25/2025 15:27
Khetlal,Joypurhat,25.025,89.13333333,4G,Moderate,6,6/25/2025 15:40
Panchbibi,Joypurhat,25.195,89.02,4G,Good,4,6/25/2025 15:40
Atrai,Naogaon,24.61333333,88.97,Wi-Fi,Moderate,3,6/25/2025 15:41
Badalgachi,Naogaon,24.96666667,88.9,4G,Good,0,6/25/2025 15:44
Dhamoirhat,Naogaon,25.14,88.85,4G,Low,1,6/25/2025 15:44
Manda,Naogaon,24.775,88.67,4G,Good,6,6/25/2025 15:44
Mohadevpur,Naogaon,24.9183,88.7483,4G,Moderate,0,6/25/2025 15:53
Naogaon Sadar,Naogaon,24.805,88.95,4G,Good,0,6/25/2025 15:57
Niamatpur,Naogaon,24.83,88.55,4G,Low,1,6/25/2025 16:03
Patnitala,Naogaon,25.05,88.7333,4G,Moderate,7,6/25/2025 16:09
Porsha,Naogaon,25.025,88.4833,4G,Good,2,6/25/2025 16:29
Raninagar,Naogaon,24.7333,88.975,Wi-Fi,Low,9,6/25/2025 16:35
Sapahar,Naogaon,25.125,88.58166667,4G,Good,4,6/25/2025 16:37
Bagatipara,Natore,24.33,88.945,4G,Good,5,6/25/2025 16:37
Baraigram,Natore,24.3083,89.1708,4G,Low,10,6/25/2025 16:38
Gurudaspur,Natore,24.3667,89.25,Wi-Fi,Low,8,6/25/2025 16:42
Lalpur,Natore,24.1833,88.975,4G,Low,5,6/25/2025 16:47
Naldanga,Natore,24.4969,88.9605,4G,Low,1,6/25/2025 16:48
Natore Sadar,Natore,24.4139,88.93,4G,Moderate,0,6/25/2025 16:53
Singra,Natore,24.5,89.13333333,4G,Good,8,6/25/2025 17:04
Atghoria,Pabna,24.1333,89.25,4G,Low,9,6/25/2025 17:13
Bera,Pabna,24.0667,89.625,4G,Good,10,6/25/2025 17:15
Bhangura,Pabna,24.225,89.4,Wi-Fi,Moderate,6,6/25/2025 17:16
Chatmohar,Pabna,24.23,89.3,4G,Good,5,6/25/2025 17:28
Faridpur,Pabna,24.1583,89.4528,4G,Low,4,6/25/2025 17:31
Ishwardi,Pabna,24.15,89.0667,4G,Low,6,6/25/2025 17:41
Pabna Sadar,Pabna,24.005,89.25,4G,Low,1,6/25/2025 17:43
Santhia,Pabna,24.0583,89.5333,4G,Low,4,6/25/2025 17:44
Sujanagar,Pabna,23.9167,89.4333,4G,Moderate,2,6/25/2025 17:47
Bagha,Rajshahi,24.1917,88.8333,4G,Moderate,4,6/25/2025 17:49
Bagmara,Rajshahi,24.5639,88.8083,4G,Moderate,6,6/25/2025 18:03
Charghat,Rajshahi,24.2833,88.775,4G,Good,7,6/25/2025 18:11
Durgapur,Rajshahi,24.4556,88.7667,4G,Low,9,6/25/2025 18:11
Godagari,Rajshahi,24.4667,88.3306,4G,Good,0,6/25/2025 18:34
Mohanpur,Rajshahi,24.5639,88.65,4G,Good,0,6/25/2025 18:38
Paba,Rajshahi,24.4417,88.6278,4G,Good,7,6/25/2025 18:41
Puthia,Rajshahi,24.375,88.85,4G,Good,4,6/25/2025 18:47
Tanore,Rajshahi,24.6028,88.5806,4G,Low,7,6/25/2025 18:50
Belkuchi,Sirajganj,24.2917,89.7,4G,Moderate,8,6/25/2025 18:51
Chowhali,Sirajganj,24.2111,89.7208,4G,Low,5,6/25/2025 18:52
Kamarkhanda,Sirajganj,24.38,89.65,4G,Low,10,6/25/2025 18:54
Kazipur,Sirajganj,24.6417,89.65,4G,Low,5,6/25/2025 18:55
Raiganj,Sirajganj,24.5014,89.5347,4G,Good,7,6/25/2025 19:08
Shahzadpur,Sirajganj,24.17,89.58833333,Wi-Fi,Good,5,6/25/2025 19:18
Sirajganj Sadar,Sirajganj,24.45833,89.7,4G,Low,7,6/25/2025 19:31
Tarash,Sirajganj,24.4333,89.375,4G,Good,3,6/25/2025 19:34
Ullapara,Sirajganj,24.3194,89.5667,4G,Low,10,6/25/2025 19:38
Birampur,Dinajpur,25.3783,88.9833,4G,Moderate,5,6/25/2025 19:39
Birganj,Dinajpur,26,88.5833,4G,Low,1,6/25/2025 19:42
Birol,Dinajpur,25.6333,88.5333,4G,Low,4,6/25/2025 19:44
Bochaganj,Dinajpur,25.8,88.4611,Wi-Fi,Moderate,10,6/25/2025 19:45
Chirirbandar,Dinajpur,25.6625,88.7833,4G,Low,2,6/25/2025 19:49
Dinajpur Sadar,Dinajpur,25.6333,88.65,Wi-Fi,Good,0,6/25/2025 19:49
Fulbari,Dinajpur,25.51666667,88.88333333,4G,Low,7,6/25/2025 19:57
Ghoraghat,Dinajpur,25.2458,89.2167,4G,Moderate,9,6/25/2025 20:02
Hakimpur,Dinajpur,25.2833,89.0167,Wi-Fi,Good,0,6/25/2025 20:02
Kaharol,Dinajpur,25.7917,88.6,4G,Moderate,7,6/25/2025 20:12
Khanshama,Dinajpur,25.9278,88.7333,Wi-Fi,Low,3,6/25/2025 20:16
Nawabganj,Dinajpur,25.4167,89.0833,4G,Moderate,8,6/25/2025 20:31
Parbatipur,Dinajpur,25.6533,88.9155,4G,Good,9,6/25/2025 20:44
Fulchari,Gaibandha,25.1917,89.6167,4G,Moderate,6,6/25/2025 20:45
Gaibandha Sadar,Gaibandha,25.325,89.6278,Wi-Fi,Low,1,6/25/2025 20:47
Gobindaganj,Gaibandha,25.1333,89.3917,4G,Low,6,6/25/2025 20:51
Palashbari,Gaibandha,25.2833,89.35,4G,Good,0,6/25/2025 20:53
Sadullapur,Gaibandha,25.3833,89.4667,4G,Low,0,6/25/2025 20:55
Saghata,Gaibandha,25.1056,89.5861,4G,Low,3,6/25/2025 20:55
Sundarganj,Gaibandha,25.56436222,89.51909,4G,Good,9,6/25/2025 20:57
Bhurungamari,Kurigram,26.125,89.6833,4G,Moderate,2,6/25/2025 21:00
Chilmari,Kurigram,25.5667,89.6917,Wi-Fi,Moderate,4,6/25/2025 21:10
Fulbari,Kurigram,25.95,89.56666667,4G,Moderate,1,6/25/2025 21:28
Kurigram Sadar,Kurigram,25.8167,89.65,4G,Low,0,6/25/2025 21:54
Nageswari,Kurigram,25.96,89.74,4G,Good,9,6/25/2025 21:56
Rajarhat,Kurigram,25.8,89.55,4G,Moderate,2,6/25/2025 22:10
Char Rajibpur,Kurigram,25.4,89.6917,4G,Good,3,6/25/2025 22:33
Rowmari,Kurigram,25.5625,89.85,4G,Moderate,5,6/25/2025 22:40
Ulipur,Kurigram,25.6639,89.6333,4G,Good,2,6/25/2025 22:41
Aditmari,Lalmonirhat,25.925,89.35,4G,Good,6,6/25/2025 22:43
Hatibandha,Lalmonirhat,26.1125,89.1333,4G,Moderate,4,6/25/2025 22:49
Kaliganj,Lalmonirhat,25.9676,89.2068,4G,Low,0,6/25/2025 23:05
Lalmonirhat Sadar,Lalmonirhat,25.915,89.45,4G,Low,2,6/25/2025 23:08
Patgram,Lalmonirhat,26.35,89.01666667,4G,Low,8,6/25/2025 23:10
Dimla,Nilphamari,26.16,89,4G,Moderate,6,6/25/2025 23:16
Domar,Nilphamari,26.1,88.8361,Wi-Fi,Moderate,4,6/25/2025 23:20
Jaldhaka,Nilphamari,26.03,88.99,4G,Low,3,6/25/2025 23:22
Kishoreganj,Nilphamari,25.9111,89.025,Wi-Fi,Moderate,6,6/25/2025 23:24
Nilphamari Sadar,Nilphamari,25.9417,88.8444,4G,Moderate,6,6/25/2025 23:42
Sayedpur,Nilphamari,25.7778,88.8917,Wi-Fi,Moderate,2,6/25/2025 23:53
Atwari,Panchagarh,26.3083,88.4583,Wi-Fi,Good,7,6/26/2025 0:02
Boda,Panchagarh,26.2083,88.5597,4G,Low,4,6/26/2025 0:16
Debiganj,Panchagarh,26.1185,88.7592,4G,Moderate,4,6/26/2025 0:31
Panchagarh Sadar,Panchagarh,26.3347,88.5583,4G,Low,3,6/26/2025 0:50
Tetulia,Panchagarh,26.48333333,88.35,4G,Low,4,6/26/2025 1:27
Badarganj,Rangpur,25.66666667,89.05,4G,Moderate,3,6/26/2025 1:36
Gangachara,Rangpur,25.85,89.2167,4G,Moderate,2,6/26/2025 1:38
Kaunia,Rangpur,25.7708,89.4167,4G,Good,2,6/26/2025 1:49
Mithapukur,Rangpur,25.5417,89.2833,Wi-Fi,Moderate,7,6/26/2025 1:52
Pirgacha,Rangpur,25.58,89.4,4G,Low,6,6/26/2025 2:08
Pirganj,Rangpur,25.4153,89.3167,4G,Low,9,6/26/2025 2:10
Rangpur Sadar,Rangpur,25.75014,89.23333,4G,Moderate,7,6/26/2025 2:15
Taraganj,Rangpur,25.79,89.04,4G,Low,2,6/26/2025 2:38
Baliadangi,Thakurgaon,26.1,88.275,4G,Low,8,6/26/2025 2:43
Haripur,Thakurgaon,25.8083,88.1417,4G,Moderate,3,6/26/2025 2:44
Pirganj,Thakurgaon,25.8542,88.3667,4G,Low,3,6/26/2025 2:45
Ranisankail,Thakurgaon,25.88833333,88.25166667,4G,Good,2,6/26/2025 2:59
Thakurgaon Sadar,Thakurgaon,26.0208,88.4667,4G,Moderate,1,6/26/2025 3:04
Ajmiriganj,Habiganj,24.5472,91.25,4G,Good,7,6/26/2025 3:14
Bahubal,Habiganj,24.3556,91.5417,Wi-Fi,Moderate,3,6/26/2025 3:22
Baniachong,Habiganj,24.5417,91.3333,4G,Good,7,6/26/2025 3:31
Chunarughat,Habiganj,24.2,91.51666667,4G,Moderate,2,6/26/2025 3:32
Habiganj Sadar,Habiganj,24.375,91.4167,4G,Low,8,6/26/2025 3:34
Lakhai,Habiganj,24.2889,91.2167,4G,Low,8,6/26/2025 3:34
Madhabpur,Habiganj,24.1028,91.2917,4G,Low,1,6/26/2025 3:53
Nabiganj,Habiganj,24.56666667,91.515,4G,Moderate,5,6/26/2025 3:58
Sayestaganj,Habiganj,24.2733003,91.4463813,4G,Good,10,6/26/2025 4:13
Barlekha,Moulvibazar,24.7083,92.2,Wi-Fi,Low,6,6/26/2025 4:28
Juri,Moulvibazar,24.58006,92.164672,4G,Moderate,4,6/26/2025 4:30
Kamalganj,Moulvibazar,24.3667,91.8667,4G,Good,2,6/26/2025 4:30
Kulaura,Moulvibazar,24.86833333,92.05916667,4G,Moderate,1,6/26/2025 4:30
Moulvibazar Sadar,Moulvibazar,24.4778,91.7667,Wi-Fi,Moderate,5,6/26/2025 4:39
Rajnagar,Moulvibazar,24.51666667,91.86666667,Wi-Fi,Good,7,6/26/2025 4:40
Sreemangal,Moulvibazar,24.3083,91.7333,4G,Low,0,6/26/2025 4:42
Biswamvarpur,Sunamganj,25.1,91.3,4G,Moderate,5,6/26/2025 4:44
Chatak,Sunamganj,25.0417,91.675,Wi-Fi,Low,1,6/26/2025 4:44
Dakshin Sunamganj,Sunamganj,24.93951,91.41359,4G,Moderate,6,6/26/2025 4:47
Derai,Sunamganj,24.79,91.35,4G,Good,8,6/26/2025 5:05
Dharmapasha,Sunamganj,24.9,91.0167,Wi-Fi,Good,4,6/26/2025 5:12
Dowarabazar,Sunamganj,25.05,91.5667,4G,Moderate,3,6/26/2025 5:15
Jagannathpur,Sunamganj,24.76666667,91.55,Wi-Fi,Low,5,6/26/2025 5:19
Jamalganj,Sunamganj,24.9833,91.2333,4G,Good,3,6/26/2025 5:24
Sulla,Sunamganj,24.6264,91.25,4G,Moderate,1,6/26/2025 5:25
Sunamganj Sadar,Sunamganj,25.06666667,91.4,4G,Low,1,6/26/2025 5:27
Tahirpur,Sunamganj,25.0917,91.175,4G,Moderate,4,6/26/2025 5:32
Balaganj,Sylhet,24.6667,91.8333,Wi-Fi,Moderate,3,6/26/2025 5:36
Beanibazar,Sylhet,24.825,92.1625,4G,Low,9,6/26/2025 5:42
Biswanath,Sylhet,24.8083,91.7639,4G,Moderate,8,6/26/2025 5:47
Companiganj,Sylhet,25.0791,91.7542,4G,Moderate,5,6/26/2025 5:50
Dakshin Surma,Sylhet,24.803,91.914,4G,Moderate,10,6/26/2025 5:58
Fenchuganj,Sylhet,24.7083,91.9403,4G,Low,6,6/26/2025 6:00
Golapganj,Sylhet,24.8583,92.0208,Wi-Fi,Moderate,1,6/26/2025 6:01
Gowainghat,Sylhet,25.08,91.97,4G,Good,0,6/26/2025 6:05
Jointiapur,Sylhet,25.125,92.1167,4G,Low,8,6/26/2025 6:05
Kanaighat,Sylhet,25.0166,92.2472,4G,Good,6,6/26/2025 6:09
Osmaninagar,Sylhet,24.718244,91.74657,Wi-Fi,Low,6,6/26/2025 6:33
Sylhet Sadar,Sylhet,24.8917,91.8833,4G,Moderate,1,6/26/2025 6:43
Zakiganj,Sylhet,24.8778,92.3722,4G,Low,3,6/26/2025 6:47
Gournadi,Barishal,22.9736,90.2306,4G,Moderate,9,6/26/2025 6:59
Kawkhali,Pirojpur,22.625799,88.443123,Wi-Fi,Moderate,7,6/26/2025 7:07
Mathbaria,Pirojpur,22.2869,89.9667,3G/2G,Low,10,6/26/2025 7:12
Nazirpur,Pirojpur,22.77,89.98,3G/2G,Good,4,6/26/2025 7:12
Nesarabad,Pirojpur,22.7472,90.1036,3G/2G,Moderate,1,6/26/2025 7:16
Pirojpur Sadar,Pirojpur,22.5778,89.99,Wi-Fi,Moderate,9,6/26/2025 7:22
Zianagar,Pirojpur,22.4858,89.9603,3G/2G,Moderate,0,6/26/2025 7:23
Akhaura,Brahmanbaria,23.8833,91.2166,3G/2G,Low,0,6/26/2025 7:26
Ashuganj,Brahmanbaria,24.0366,91.005,3G/2G,Good,0,6/26/2025 7:29
Brahmanbaria Sadar,Brahmanbaria,23.9528,91.1167,3G/2G,Good,7,6/26/2025 7:50
Bancharampur,Brahmanbaria,23.7778,90.8083,3G/2G,Good,10,6/26/2025 7:52
Bijoynagar,Brahmanbaria,24.0211,91.2797,3G/2G,Low,2,6/26/2025 7:52
Kasba,Brahmanbaria,23.7333,91.1667,3G/2G,Good,3,6/26/2025 7:53
Nabinagar,Brahmanbaria,23.8833,90.9833,3G/2G,Good,3,6/26/2025 7:57
Nasirnagar,Brahmanbaria,24.1065,91.195,3G/2G,Good,4,6/26/2025 8:07
Sarail,Brahmanbaria,24.09247222,91.11977778,3G/2G,Low,3,6/26/2025 8:09
Alikadam,Bandarban,21.6667,92.3056,Wi-Fi,Good,10,6/26/2025 8:17
Bandarban Sadar,Bandarban,22.2333,92.1917,Wi-Fi,Good,1,6/26/2025 8:23
Lama,Bandarban,21.775,92.2,3G/2G,Low,8,6/26/2025 8:24
Naikhongchhari,Bandarban,21.4167,92.1833,3G/2G,Low,3,6/26/2025 8:28
Rowangchari,Bandarban,22.1667,92.3333,3G/2G,Moderate,4,6/26/2025 8:28
Ruma,Bandarban,22.05,92.4167,3G/2G,Low,7,6/26/2025 8:38
Thanchi,Bandarban,21.7861,92.4278,3G/2G,Good,8,6/26/2025 8:55
Chandpur Sadar,Chandpur,23.2139,90.6361,3G/2G,Low,5,6/26/2025 8:58
Faridganj,Chandpur,23.125,90.7486,3G/2G,Moderate,9,6/26/2025 9:10
Haimchar,Chandpur,23.0667,90.6375,3G/2G,Moderate,6,6/26/2025 9:20
Hajiganj,Chandpur,23.25,90.85,3G/2G,Low,1,6/26/2025 9:21
Kachua,Chandpur,23.35,90.8917,3G/2G,Low,10,6/26/2025 9:21
Matlab (Dakshin),Chandpur,23.35,90.7083,3G/2G,Low,6,6/26/2025 9:30
Matlab (Uttar),Chandpur,23.45,90.63,3G/2G,Low,3,6/26/2025 9:30
Shahrasti,Chandpur,23.2222,90.95,3G/2G,Good,0,6/26/2025 9:31
Anwara,Chittagong,22.2167,91.9111,3G/2G,Good,3,6/26/2025 9:50
Banskhali,Chittagong,22.025,91.955,Wi-Fi,Low,4,6/26/2025 10:07
Boalkhali,Chittagong,22.3778,91.9208,3G/2G,Moderate,5,6/26/2025 10:09
Chandanish,Chittagong,22.2111,92.0417,3G/2G,Good,1,6/26/2025 10:13
Fatikchari,Chittagong,22.75,91.74,3G/2G,Moderate,4,6/26/2025 10:17
Karnaphuli,Chittagong,22.3,91.9,3G/2G,Moderate,4,6/26/2025 10:19
Lohagara,Chittagong,22.0083,92.1056,3G/2G,Moderate,1,6/26/2025 10:26
Mirsharai,Chittagong,22.7722,91.575,3G/2G,Low,9,6/26/2025 10:27
Patiya,Chittagong,22.3,91.9833,3G/2G,Good,0,6/26/2025 10:29
Rangunia,Chittagong,22.4667,92.0833,3G/2G,Moderate,5,6/26/2025 10:38
Raozan,Chittagong,22.5333,91.9333,3G/2G,Good,0,6/26/2025 10:45
Sandwip,Chittagong,22.4833,91.4417,3G/2G,Low,4,6/26/2025 11:08
Satkania,Chittagong,22.08833333,92.085,3G/2G,Good,6,6/26/2025 11:15
Sitakunda,Chittagong,22.61666667,91.66166667,3G/2G,Good,5,6/26/2025 11:19
Chakoria,Cox'S Bazar,21.7861,92.0778,Wi-Fi,Low,7,6/26/2025 11:19
Cox's Bazar Sadar,Cox'S Bazar,21.45,91.9833,3G/2G,Low,10,6/26/2025 11:25
Kutubdia,Cox'S Bazar,21.8167,91.8583,Wi-Fi,Low,3,6/26/2025 11:30
Moheshkhali,Cox'S Bazar,21.55,91.95,3G/2G,Low,4,6/26/2025 11:36
Pekua,Cox'S Bazar,21.825,91.975,3G/2G,Moderate,7,6/26/2025 11:45
Ramu,Cox'S Bazar,21.45833333,92.1,3G/2G,Moderate,7,6/26/2025 11:47
Teknaf,Cox'S Bazar,20.8667,92.3,3G/2G,Moderate,0,6/26/2025 11:52
Ukhiya,Cox'S Bazar,21.22,92.12,3G/2G,Low,9,6/26/2025 11:53
Barura,Cumilla,23.375,91.0583,3G/2G,Low,0,6/26/2025 11:55
Brahmanpara,Cumilla,23.6167,91.1083,Wi-Fi,Moderate,4,6/26/2025 12:12
Burichong,Cumilla,23.55,91.12666667,3G/2G,Good,5,6/26/2025 12:24
Chandina,Cumilla,23.4833,91.0083,3G/2G,Low,9,6/26/2025 12:27
Chauddagram,Cumilla,23.22,91.3,3G/2G,Low,10,6/26/2025 12:29
Cumilla Sadar,Cumilla,23.4583,91.1833,3G/2G,Moderate,1,6/26/2025 12:36
Cumilla Sadar Daksin,Cumilla,23.3667,91.2,3G/2G,Moderate,2,6/26/2025 12:38
Daudkandi,Cumilla,23.5333,90.7167,Wi-Fi,Moderate,10,6/26/2025 12:41
Debidwar,Cumilla,23.6,90.9917,Wi-Fi,Low,5,6/26/2025 12:45
Homna,Cumilla,23.6833,90.7917,3G/2G,Moderate,1,6/26/2025 12:49
Laksham,Cumilla,23.24666667,91.12833333,Wi-Fi,Moderate,0,6/26/2025 13:00
Lalmai,Cumilla,23.36002,91.15254,3G/2G,Moderate,1,6/26/2025 13:01
Meghna,Cumilla,23.627,90.7037,3G/2G,Good,0,6/26/2025 13:05
Monohorganj,Cumilla,23.1667,91.0667,Wi-Fi,Good,3,6/26/2025 13:08
Muradnagar,Cumilla,23.6385,90.9325,3G/2G,Good,0,6/26/2025 13:08
Nangalkot,Cumilla,23.13,91.22,3G/2G,Good,3,6/26/2025 13:11
Titas,Cumilla,23.6,90.7667,3G/2G,Good,2,6/26/2025 13:15
Chhagalniya,Feni,23.0361,91.5194,3G/2G,Moderate,1,6/26/2025 13:22
Daganbhuiyan,Feni,22.9375,91.3042,3G/2G,Moderate,10,6/26/2025 13:34
Amtali,Barguna,22.1294,90.2289,3G/2G,Good,8,6/26/2025 13:40
Bamna,Barguna,22.3014,90.1,3G/2G,Low,5,6/26/2025 13:40
Barguna Sadar,Barguna,22.1508,90.1264,3G/2G,Low,9,6/26/2025 13:57
Betagi,Barguna,22.4167,90.1681,Wi-Fi,Moderate,10,6/26/2025 13:57
Patharghata,Barguna,22.03333333,89.96666667,3G/2G,Low,3,6/26/2025 14:02
Taltali,Barguna,22.00146,90.00295,3G/2G,Low,1,6/26/2025 14:07
Agailjhara,Barishal,22.9667,90.15,3G/2G,Moderate,4,6/26/2025 14:11
Babuganj,Barishal,22.8319,90.3222,3G/2G,Good,10,6/26/2025 14:12
Bakerganj,Barishal,22.55,90.3389,3G/2G,Low,7,6/26/2025 14:28
Banaripara,Barishal,22.7819,90.1667,3G/2G,Moderate,1,6/26/2025 14:34
Barishal Sadar,Barishal,22.7,90.3667,3G/2G,Low,8,6/26/2025 14:46
Hizla,Barishal,22.9,90.5083,3G/2G,Good,7,6/26/2025 14:52
Mehendiganj,Barishal,22.8319,90.5333,Wi-Fi,Moderate,9,6/26/2025 15:00
Muladi,Barishal,22.915,90.415,Wi-Fi,Moderate,10,6/26/2025 15:03
Uzirpur,Barishal,22.8111,90.2444,3G/2G,Low,9,6/26/2025 15:10
Bhola-S,Bhola,22.6903,90.6525,3G/2G,Moderate,7,6/26/2025 15:36
Borhanuddin,Bhola,22.5,90.7217,3G/2G,Low,10,6/26/2025 15:42
Charfassion,Bhola,22.1847,90.7625,3G/2G,Moderate,1,6/26/2025 15:50
Daulatkhan,Bhola,22.6069,90.7358,3G/2G,Good,3,6/26/2025 15:51
Lalmohan,Bhola,22.3211,90.7472,3G/2G,Low,1,6/26/2025 15:52
Monpura,Bhola,22.2986,90.9792,3G/2G,Low,6,6/26/2025 15:54
Tazumuddin,Bhola,22.4167,90.8486,3G/2G,Low,3,6/26/2025 16:02
Jhalokathi Sadar,Jhalokathi,22.6406,90.19868,3G/2G,Good,2,6/26/2025 16:09
Kathalia,Jhalokathi,22.4,90.125,3G/2G,Moderate,2,6/26/2025 16:14
Nalchity,Jhalokathi,22.6222,90.2708,3G/2G,Low,6,6/26/2025 16:16
Rajapur,Jhalokathi,22.5667,90.1417,3G/2G,Low,10,6/26/2025 16:27
Bauphal,Patuakhali,22.45,90.53,3G/2G,Low,9,6/26/2025 16:35
Dashmina,Patuakhali,22.2833,90.5903,3G/2G,Low,7,6/26/2025 16:37
Dumki,Patuakhali,22.43333333,90.36666667,3G/2G,Moderate,5,6/26/2025 16:37
Galachipa,Patuakhali,22.1639,90.4306,Wi-Fi,Low,3,6/26/2025 16:41
Kalapara,Patuakhali,21.9861,90.2422,3G/2G,Good,0,6/26/2025 16:44
Mirzaganj,Patuakhali,22.36,90.22,3G/2G,Moderate,4,6/26/2025 16:51
Patuakhali Sadar,Patuakhali,22.3542,90.3181,Wi-Fi,Good,10,6/26/2025 16:51
Rangabali,Patuakhali,21.9333,90.4333,3G/2G,Good,4,6/26/2025 16:57
Bhandaria,Pirojpur,22.4889,90.0733,3G/2G,Moderate,4,6/26/2025 17:06
Hathazari,Chittagong,22.51666667,91.8,3G/2G,Moderate,9,6/26/2025 17:22
Feni Sadar,Feni,23.0167,91.3917,3G/2G,Low,5,6/26/2025 17:31
Fulgazi,Feni,23.13333333,91.43333333,Wi-Fi,Moderate,10,6/26/2025 17:48
Porshuram,Feni,23.21666667,91.44166667,3G/2G,Good,10,6/26/2025 18:20
Sonagazi,Feni,22.85,91.3917,3G/2G,Low,9,6/26/2025 18:22
Dighinala,Khagrachari,23.2583,92.0583,3G/2G,Low,9,6/26/2025 18:32
Guimara,Khagrachari,22.9604,91.8695,Wi-Fi,Moderate,5,6/26/2025 18:45
Khagrachari Sadar,Khagrachari,23.0417,91.9944,3G/2G,Good,7,6/26/2025 18:45
Laxmichari,Khagrachari,22.81,91.94,3G/2G,Good,9,6/26/2025 18:48
Mahalchari,Khagrachari,22.92,92.025,3G/2G,Low,5,6/26/2025 18:48
Manikchari,Khagrachari,22.8347,91.8361,3G/2G,Low,3,6/26/2025 18:52
Matiranga,Khagrachari,23.0417,91.875,3G/2G,Moderate,5,6/26/2025 18:54
Panchari,Khagrachari,23.3,91.88,3G/2G,Low,4,6/26/2025 18:54
Ramgarh,Khagrachari,22.9667,91.7,3G/2G,Moderate,7,6/26/2025 19:17
Komol Nagar, Laxmipur,22.73,90.88,3G/2G,Low,8,6/26/2025 19:21
 Laxmipur Sadar, Laxmipur,22.95,90.825,3G/2G,Good,1,6/26/2025 19:30
Raipur, Laxmipur,23.0333,90.775,3G/2G,Good,5,6/26/2025 19:44
Ramganj, Laxmipur,23.105,90.875,3G/2G,Good,9,6/26/2025 19:54
Ramgati, Laxmipur,22.72,90.89,3G/2G,Moderate,4,6/26/2025 20:13
Begumganj,Noakhali,22.95,91.1,3G/2G,Moderate,1,6/26/2025 20:16
Chatkhil,Noakhali,23.05,90.9583,3G/2G,Low,10,6/26/2025 20:17
Companiganj,Noakhali,22.875,91.2833,Wi-Fi,Moderate,3,6/26/2025 20:20
Hatiya,Noakhali,22.3667,91.125,3G/2G,Low,1,6/26/2025 20:22
Kabir Hat,Noakhali,22.8333,91.2,3G/2G,Low,7,6/26/2025 20:38
Noakhali Sadar,Noakhali,22.8256,91.1014,3G/2G,Low,3,6/26/2025 20:41
Senbag,Noakhali,23,91.23,3G/2G,Low,1,6/26/2025 20:46
Sonaimuri,Noakhali,23.03833333,91.10833333,3G/2G,Good,2,6/26/2025 21:05
Subarna Char,Noakhali,22.6833,91.11,3G/2G,Moderate,10,6/26/2025 21:06
Baghaichari,Rangamati,23.15,92.1917,3G/2G,Low,3,6/26/2025 21:08
Barkal,Rangamati,22.7333,92.3583,Wi-Fi,Good,7,6/26/2025 21:15
Belaichari,Rangamati,22.4667,92.375,3G/2G,Low,6,6/26/2025 21:24
Juraichari,Rangamati,22.6667,92.3833,3G/2G,Good,1,6/26/2025 21:27
Kaptai,Rangamati,22.5,92.2167,3G/2G,Moderate,4,6/26/2025 21:35
Kaukhali,Rangamati,22.5333,92.0167,3G/2G,Moderate,0,6/26/2025 21:51
Langadu,Rangamati,22.95,92.15,3G/2G,Moderate,2,6/26/2025 21:52
Nanniarchar,Rangamati,22.8583,92.1167,3G/2G,Low,5,6/26/2025 21:58
Rajosthali,Rangamati,22.3833,92.2417,3G/2G,Good,4,6/26/2025 22:13
Rangamati Sadar,Rangamati,22.65,92.1833,3G/2G,Moderate,8,6/26/2025 22:14
Dhamrai,Dhaka,23.90833333,90.21666667,Wi-Fi,Moderate,4,6/26/2025 22:19
Dohar,Dhaka,23.5958,90.1222,3G/2G,Good,10,6/26/2025 22:28
Keraniganj,Dhaka,23.68333333,90.33333333,3G/2G,Low,3,6/26/2025 22:48
Nawabganj,Dhaka,23.6667,90.1667,Wi-Fi,Low,6,6/26/2025 22:50
Savar,Dhaka,23.88,90.28,3G/2G,Good,10,6/26/2025 22:53
Alfadanga,Faridpur,23.2833,89.7167,3G/2G,Low,7,6/26/2025 22:58
Bhanga,Faridpur,23.3833,89.9833,3G/2G,Moderate,2,6/26/2025 23:06
Boalmari,Faridpur,23.3917,89.6833,3G/2G,Moderate,5,6/26/2025 23:12
Charbhadrasan,Faridpur,23.55833,90.08333,Wi-Fi,Moderate,2,6/26/2025 23:17
Faridpur Sadar,Faridpur,23.5958,89.8306,3G/2G,Low,10,6/26/2025 23:23
Madhukhali,Faridpur,23.5417,89.6306,3G/2G,Low,6,6/26/2025 23:25
